circuit_id,layer,entcap,expr
17.0,1.0,0.3287402441394892,0.19606283643365266
17.0,2.0,0.5077678345886487,0.06885300218273238
17.0,3.0,0.6165370823498766,0.040310248418712946
17.0,4.0,0.6880612404258348,0.02730661871981376
17.0,5.0,0.7362361783475668,0.015495253359327322
17.0,6.0,0.7786231700257593,0.014501535995859759
17.0,7.0,0.8075348235927371,0.007893693292668326
17.0,8.0,0.8342582850571204,0.0061325469289274705
17.0,9.0,0.8536477170020513,0.005504544112228682
17.0,10.0,0.8696575295760365,0.006934181907380148
17.0,11.0,0.8851356828144954,0.004858155601865407
17.0,12.0,0.8951532801515785,0.004074716171383955
17.0,13.0,0.9058160011468668,0.004605516546396575
17.0,14.0,0.9134716021713964,0.004819008350175331
17.0,15.0,0.9199943882559521,0.004863840833970854
17.0,16.0,0.9250575075613953,0.0036952830356859158
18.0,1.0,0.21653991252543014,0.2758688771311277
18.0,2.0,0.4177410493513834,0.11519688287201017
18.0,3.0,0.5585777148576314,0.06410807088895051
18.0,4.0,0.6484363784843761,0.04597666605949141
18.0,5.0,0.7172372105145434,0.019810410060687095
18.0,6.0,0.7630147434281609,0.013698910095153732
18.0,7.0,0.8046335403983749,0.00804230063483509
18.0,8.0,0.8349825457709824,0.007638555891403337
18.0,9.0,0.8576154718057861,0.004861762311119608
18.0,10.0,0.8765027792342841,0.005194937893188515
18.0,11.0,0.8910510044497648,0.005432455297682883
18.0,12.0,0.9036231981327354,0.0047394761100882175
18.0,13.0,0.9144172569787306,0.004351650269431576
18.0,14.0,0.921287068170094,0.005346311038120558
18.0,15.0,0.9283781167344587,0.003442403250822029
18.0,16.0,0.9326336209480056,0.004413982025983239
19.0,1.0,0.38104709767928563,0.13323542824599122
19.0,2.0,0.598964111920111,0.03901172208738444
19.0,3.0,0.728592029247688,0.012509650690520197
19.0,4.0,0.8049611605417292,0.007546018371637125
19.0,5.0,0.8555865476961378,0.004587160756592916
19.0,6.0,0.8886004811507194,0.004663928880348849
19.0,7.0,0.9101083363968945,0.003870911302481432
19.0,8.0,0.9244231041795037,0.0049953566359564276
19.0,9.0,0.9341649596312499,0.004216318303605654
19.0,10.0,0.9411609508371317,0.005263065641209417
19.0,11.0,0.9447994992451763,0.005706507627152892
19.0,12.0,0.9481903113448764,0.004900741914199933
19.0,13.0,0.9498564889895497,0.005402014373766754
19.0,14.0,0.9512289260681621,0.004164243254090306
