[2021-10-31 01:17:18,326] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=8/0 | Optimizing... 40/1024
[2021-10-31 01:17:20,693] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Optimizer terminated 43/1024 (00:21:00)
[2021-10-31 01:17:20,694] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #1/layer=5/0 | Process 139375 finished (00:22:41)
[2021-10-31 01:17:20,879] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #3/layer=2/0 | Process 139375 start (00:00:00)
[2021-10-31 01:17:26,882] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=4/0 | Optimizing... 40/1024
[2021-10-31 01:17:43,714] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=5/0 | Optimizing... 40/1024
[2021-10-31 01:18:33,100] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=6/0 | Optimizing... 40/1024
[2021-10-31 01:18:48,650] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #3/layer=2/0 | NQSVM object: expr=0.15912554220941327, entcap=0.36487758529613373 (00:01:27) / Start Optimization...
[2021-10-31 01:18:48,735] __main__ - DEBUG : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Optimizer terminated 50/1024 (00:23:06)
[2021-10-31 01:18:48,736] __main__ - INFO : Dir @ /home/quic/QUIC-Projects/summary_ipynb/2021/10 October/15 Fri/Exp3(ZZ64)/Dataset #0/Circuit #2/layer=1/0 | Process 139379 finished (00:24:09)
