,dataset,circuit_id,layer,num_params,expr,entcap,num_iter,last_cost_avg,accuracy
455,0.0,8.0,1.0,24.0,0.11160129005636785,0.3261765504535992,98.0,0.10145950317382812,0.90625
456,0.0,8.0,2.0,48.0,0.03348996786932379,0.4971460249615943,85.0,0.1061859130859375,0.9375
457,0.0,8.0,2.0,48.0,0.04720123773195112,0.5012203698029023,71.0,0.10591888427734375,0.96875
458,0.0,8.0,2.0,48.0,0.05663903797644748,0.495007423326694,69.0,0.0971527099609375,0.9375
459,0.0,8.0,2.0,48.0,0.04732909000143952,0.5094149688512104,69.0,0.1743316650390625,0.9375
460,0.0,8.0,2.0,48.0,0.07521171894535518,0.4987601252602344,50.0,0.10544586181640625,0.9375
461,0.0,8.0,2.0,48.0,0.06088634583234067,0.493688689994234,122.0,0.08209991455078125,0.96875
462,0.0,8.0,2.0,48.0,0.05983698301429047,0.4940914581379789,94.0,0.099151611328125,0.96875
463,0.0,8.0,2.0,48.0,0.043526296090471116,0.4979862359580483,54.0,0.09575271606445312,0.875
464,0.0,8.0,3.0,72.0,0.03476895173228428,0.6044823867377934,165.0,0.08073806762695312,0.84375
465,0.0,8.0,3.0,72.0,0.02552110759381733,0.60332793188444,75.0,0.159149169921875,0.96875
466,0.0,8.0,3.0,72.0,0.04078135393122545,0.6021687087814841,47.0,0.133575439453125,0.90625
467,0.0,8.0,3.0,72.0,0.018032791016013194,0.6039937535650369,68.0,0.12237930297851562,0.90625
468,0.0,8.0,3.0,72.0,0.03303364709361727,0.593945085296862,121.0,0.08819580078125,0.96875
469,0.0,8.0,3.0,72.0,0.023018806498160873,0.5975555024251296,58.0,0.10969924926757812,0.96875
470,0.0,8.0,3.0,72.0,0.045125739413321465,0.6181513572873062,81.0,0.11159133911132812,0.90625
471,0.0,8.0,3.0,72.0,0.02620584281997014,0.5963531578604014,103.0,0.10695266723632812,0.90625
472,0.0,8.0,4.0,96.0,0.03419951142143378,0.6733254225687493,62.0,0.09732437133789062,0.84375
473,0.0,8.0,4.0,96.0,0.013468381830204016,0.6664334711972351,111.0,0.09790802001953125,0.96875
474,0.0,8.0,4.0,96.0,0.015103971145312714,0.6704591870477135,79.0,0.10298919677734375,0.96875
475,0.0,8.0,4.0,96.0,0.015523206380465471,0.6706602854438611,80.0,0.10291671752929688,0.65625
476,0.0,8.0,4.0,96.0,0.016039963101287198,0.6715149848927741,128.0,0.09642791748046875,0.9375
477,0.0,8.0,4.0,96.0,0.016135718080785996,0.6716941146164489,65.0,0.10943603515625,0.9375
478,0.0,8.0,4.0,96.0,0.0170290701966655,0.6699474559052943,55.0,0.11110305786132812,0.9375
479,0.0,8.0,4.0,96.0,0.023745176677434116,0.6694889633685754,53.0,0.10831832885742188,0.84375
480,0.0,8.0,5.0,120.0,0.012550112207607647,0.7188561683148489,58.0,0.16271209716796875,0.9375
481,0.0,8.0,5.0,120.0,0.019434197037663498,0.7202284887352642,130.0,0.08817672729492188,0.9375
482,0.0,8.0,5.0,120.0,0.014515866634535576,0.7151570602052071,55.0,0.13747787475585938,0.90625
483,0.0,8.0,5.0,120.0,0.014976321347540858,0.7222273009782678,73.0,0.11471939086914062,0.96875
484,0.0,8.0,5.0,120.0,0.02091880154834018,0.7185097006351137,149.0,0.07837295532226562,0.90625
485,0.0,8.0,5.0,120.0,0.011215393890364973,0.7235862595386613,98.0,0.111114501953125,0.875
486,0.0,8.0,5.0,120.0,0.016480032982611446,0.7173324306371702,85.0,0.09222412109375,0.90625
487,0.0,8.0,5.0,120.0,0.019702230978052057,0.7208186015071303,43.0,0.14380264282226562,0.875
488,0.0,8.0,6.0,144.0,0.011896303101676171,0.7592767464410392,61.0,0.12989044189453125,0.875
489,0.0,8.0,6.0,144.0,0.011854223129760073,0.7617866482242234,149.0,0.09711074829101562,0.9375
490,0.0,8.0,6.0,144.0,0.006678532916932807,0.758501287152072,58.0,0.13810348510742188,0.78125
491,0.0,8.0,6.0,144.0,0.012039046437708353,0.7579294697054161,73.0,0.094635009765625,0.875
492,0.0,8.0,6.0,144.0,0.015015107474492629,0.7544325001822219,57.0,0.11031723022460938,0.96875
493,0.0,8.0,6.0,144.0,0.017593550792517728,0.7600654585962775,68.0,0.12088394165039062,0.8125
494,0.0,8.0,6.0,144.0,0.008827782188202108,0.7641748248801503,62.0,0.1232757568359375,0.9375
495,0.0,8.0,6.0,144.0,0.011064888825154509,0.7577417890221189,95.0,0.1142578125,0.875
496,0.0,8.0,7.0,168.0,0.01736472997452187,0.7878863279489489,51.0,0.14373016357421875,0.8125
497,0.0,8.0,7.0,168.0,0.014086333392177054,0.7866896233063382,80.0,0.12016677856445312,0.96875
498,0.0,8.0,7.0,168.0,0.007565766480368127,0.7905493570322778,62.0,0.1094970703125,0.90625
499,0.0,8.0,7.0,168.0,0.01301311337394639,0.7895703350167127,67.0,0.10783004760742188,0.28125
500,0.0,8.0,7.0,168.0,0.011075107681143169,0.7849237568024344,66.0,0.11761093139648438,0.90625
501,0.0,8.0,7.0,168.0,0.00905115129499431,0.7830558340220377,91.0,0.1030731201171875,1.0
502,0.0,8.0,7.0,168.0,0.00885330309475459,0.7876840913967078,111.0,0.1040191650390625,0.90625
